Exon	IJC1	SJC1	IJC2	SJC2	IncFormLen	SkipFormLen
91857	65,64,64	42,56,35	14,7,13	93,93,105	172	86
92001	115,179,136	130,148,135	28,16,13	162,116,116	139	77
93416	481,524,459	126,100,98	314,278,274	222,236,250	142	86
93572	533,572,470	196,187,205	554,384,482	72,64,64	139	65
94432	0,0,1	133,167,134	44,34,47	32,28,34	151	65
94433	2,6,6	10,13,5	733,657,668	10,7,17	172	86
94434	0,1,0	22,28,25	41,37,44	1,10,0	172	86
94435	9,7,10	702,811,705	628,577,639	194,199,164	151	65
94437	11,13,15	19,18,24	1317,1200,1260	109,98,104	172	86
94438	9,8,9	194,190,218	625,580,636	93,81,80	172	86
94439	10,9,14	31,25,16	670,611,679	0,0,3	172	86
94441	64,103,99	702,811,705	683,605,729	194,199,164	151	65
94442	55,98,80	133,167,134	584,514,642	32,28,34	151	65
94452	45,85,75	702,811,705	574,507,625	194,199,164	151	65
94461	76,110,91	702,811,705	574,507,628	194,199,164	151	65
94548	85,100,79	5,4,4	122,100,121	57,76,70	48	86
94734	135,129,112	181,135,164	21,22,21	165,192,185	172	86
94967	21,30,48	15,8,10	22,12,11	89,80,109	154	86
94973	378,408,417	15,8,10	393,379,382	89,80,109	100	86
95256	96,116,94	57,67,46	162,167,116	16,14,25	172	86
95291	245,247,232	1706,2077,1872	544,701,631	1187,1317,1285	172	86
96182	132,131,136	2,0,0	68,48,54	14,15,11	60	34
96262	49,66,54	19,18,15	172,181,134	3,7,2	155	69
96281	63,81,54	33,36,48	89,75,108	151,166,195	172	86
96473	637,683,618	468,403,405	613,528,491	170,157,169	154	74
96750	374,367,309	383,393,358	194,202,160	80,108,72	172	86
96770	148,136,97	220,239,238	98,108,97	29,32,26	32	26
96936	367,418,434	35,38,27	69,63,54	75,61,63	136	86
97627	120,110,115	44,40,41	207,157,194	8,9,7	116	86
98880	235,224,224	58,53,84	710,608,663	55,49,41	154	86
99991	41,48,48	19,21,20	121,80,137	4,3,7	172	86
100101	58,34,29	58,48,39	12,16,20	179,128,146	172	86
100342	573,604,580	132,131,118	366,359,360	192,166,188	82	86
100345	755,813,762	423,403,428	477,502,490	696,666,665	82	86
100851	120,166,106	94,139,105	107,71,66	19,23,20	172	86
100931	41,37,42	0,0,1	1,2,5	2,3,1	168	82
101107	213,249,272	30,44,24	187,155,155	74,77,93	154	86
101110	112,143,154	30,44,24	112,73,85	74,77,93	172	86
102397	84,99,74	13,14,7	246,284,267	117,135,154	172	86
102405	84,100,78	13,14,7	247,295,273	117,135,154	172	86
102779	224,161,209	1757,1881,1661	966,811,825	441,341,394	109	83
103306	58,71,63	2,0,5	76,95,74	38,32,23	172	86
103395	206,283,234	5,0,2	18,31,21	6,12,12	140	86
103553	189,204,209	47,36,38	255,239,291	13,11,6	134	48
104321	217,281,274	232,244,216	388,379,439	26,46,27	72	82
104348	1027,1068,1163	864,898,908	540,612,711	1495,1517,1450	84	86
104517	176,166,181	281,301,276	287,241,229	29,42,15	82	86
104799	374,405,450	415,352,416	500,405,501	232,211,197	136	86
105181	61,51,66	12,9,15	97,86,96	86,86,86	52	86
105358	40,34,35	5,14,11	3,5,4	11,15,5	118	32
105372	207,237,208	337,341,352	362,314,355	156,171,181	160	86
105373	125,131,132	58,60,75	198,180,218	22,21,35	160	86
105781	56,78,55	57,90,52	208,132,153	44,40,56	72	46
105788	194,257,238	57,90,52	662,531,545	44,40,56	132	46
105840	8389,10398,8434	1571,1610,1477	23486,21736,26811	1691,1420,1575	172	86
105865	3,7,7	2,6,4	3,2,5	60,42,29	94	86
106330	772,869,775	2,0,0	1,1,1	0,0,0	141	55
106985	523,551,564	36,51,62	308,227,248	341,290,293	73	53
106989	1103,1180,1123	36,51,62	558,505,526	341,290,293	38	48
106990	589,636,570	36,51,62	277,291,290	341,290,293	158	86
